Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-01-03,18232.55078125,18251.94921875,18149.80078125,18163.19921875,208700,0.001927069632871597,0.00192892762485819,0.1927069632871597
2023-01-04,18042.94921875,18243.0,18020.599609375,18230.650390625,235200,-0.010453517612292944,-0.010399069487028845,-1.0453517612292944
2023-01-05,17992.150390625,18120.30078125,17892.599609375,18101.94921875,269900,-0.0028194100932680756,-0.0028154392892826285,-0.28194100932680755
2023-01-06,17859.44921875,18047.400390625,17795.55078125,18008.05078125,238200,-0.0074028372147649955,-0.007375503705446151,-0.7402837214764996
2023-01-09,18101.19921875,18141.400390625,17936.150390625,17952.55078125,257200,0.01344545509952314,0.013536251708490266,1.344545509952314
2023-01-10,17914.150390625,18127.599609375,17856.0,18121.30078125,283300,-0.010387266093937284,-0.010333504750958511,-1.0387266093937284
2023-01-11,17895.69921875,17976.349609375,17824.349609375,17924.25,259900,-0.0010305082936186098,-0.0010299775022909463,-0.10305082936186097
2023-01-12,17858.19921875,17945.80078125,17761.650390625,17920.849609375,227800,-0.0020976741216788596,-0.00209547554088918,-0.20976741216788597
2023-01-13,17956.599609375,17999.349609375,17774.25,17867.5,256700,0.0054949708747303715,0.005510095918388247,0.5494970874730372
2023-01-16,17894.849609375,18049.650390625,17853.650390625,18033.150390625,206200,-0.0034447734977776498,-0.003438847072569362,-0.34447734977776495
2023-01-17,18053.30078125,18072.05078125,17886.94921875,17922.80078125,219100,0.008815596703469526,0.008854568511824201,0.8815596703469526
2023-01-18,18165.349609375,18183.75,18032.44921875,18074.30078125,255800,0.00618737497867869,0.006206556323560042,0.618737497867869
2023-01-19,18107.849609375,18155.19921875,18063.75,18119.80078125,237800,-0.0031703874707042848,-0.003165367099256078,-0.31703874707042845
2023-01-20,18027.650390625,18145.44921875,18016.19921875,18115.599609375,237200,-0.004438812272184146,-0.004428975305189153,-0.4438812272184146
2023-01-23,18118.55078125,18162.599609375,18063.44921875,18118.44921875,202500,0.005029606393094338,0.005042276095628795,0.5029606393094338
2023-01-24,18118.30078125,18201.25,18078.650390625,18183.94921875,216900,-1.379810823647804e-05,-1.3798013043020418e-05,-0.001379810823647804
2023-01-25,17891.94921875,18100.599609375,17846.150390625,18093.349609375,257200,-0.012571672991636754,-0.01249297962501228,-1.2571672991636755
2023-01-27,17604.349609375,17884.75,17493.55078125,17877.19921875,476300,-0.016204838949638832,-0.016074246906178757,-1.6204838949638831
2023-01-30,17648.94921875,17709.150390625,17405.55078125,17541.94921875,432400,0.002530238851503625,0.0025334426073457816,0.2530238851503625
2023-01-31,17662.150390625,17735.69921875,17537.55078125,17731.44921875,398300,0.0007477066778470427,0.0007479862801675896,0.07477066778470427
2023-02-01,17616.30078125,17972.19921875,17353.400390625,17811.599609375,512900,-0.0025992997802722563,-0.0025959245256645946,-0.2599299780272256
2023-02-02,17610.400390625,17653.900390625,17445.94921875,17517.099609375,490100,-0.00033499535771969267,-0.0003349392530399564,-0.03349953577196926
2023-02-03,17854.05078125,17870.30078125,17584.19921875,17721.75,424100,0.013740758205234283,0.013835596307890219,1.3740758205234282
2023-02-06,17764.599609375,17823.69921875,17698.349609375,17818.55078125,282500,-0.005022725956678951,-0.005010133160870178,-0.5022725956678951
2023-02-07,17721.5,17811.150390625,17652.55078125,17790.099609375,354400,-0.0024290993398515346,-0.0024261514654264627,-0.24290993398515345
2023-02-08,17871.69921875,17898.69921875,17744.150390625,17750.30078125,291000,0.00843982073038998,0.008475536424681795,0.843982073038998
2023-02-09,17893.44921875,17916.900390625,17779.80078125,17885.5,260900,0.0012162679944837883,0.0012170079483646568,0.12162679944837883
2023-02-10,17856.5,17876.94921875,17801.0,17847.55078125,232000,-0.00206709283308457,-0.0020649578680046465,-0.206709283308457
